30 Jun 2023 16:09:24,717 | [29] | INFO  | ~109 | System Executable :D:\FPDS\NEW_ARMSSERVICE\ARMSSERVICE\ArmsServiceMonitor.exe
30 Jun 2023 16:09:26,808 | [21] | INFO  | ~110 | System Executable :D:\FPDS\NEW_ARMSSERVICE\ARMSSERVICE\ArmsServiceMonitor.exe
30 Jun 2023 16:09:29,646 | [84] | INFO  | ~111 | Initializing Log From Path :D:\FPDS\NEW_ARMSSERVICE\ARMSSERVICE
 
30 Jun 2023 16:09:29,755 | [116] | INFO  | ~112 | Application Path is verified.
30 Jun 2023 16:09:29,755 | [55] | INFO  | ~113 | Logger Engine Initialized.
30 Jun 2023 16:09:29,789 | [104] | INFO  | ~114 | Checked Network Availability.
30 Jun 2023 16:09:29,790 | [29] | INFO  | ~115 | Mapping Directories.
30 Jun 2023 16:09:29,913 | [118] | INFO  | ~116 | DB Backup Set To 0:30
30 Jun 2023 16:09:29,915 | [17] | INFO  | ~117 | Log Backup Set To 17:30
30 Jun 2023 16:09:29,916 | [84] | INFO  | ~118 | EOD Set To 0:1
30 Jun 2023 16:09:29,975 | [55] | INFO  | ~119 | Config Loaded Successfully
30 Jun 2023 16:09:29,977 | [72] | INFO  | ~121 | TSC:10
30 Jun 2023 16:09:29,975 | [21] | INFO  | ~120 | Loading Metadata Users !!
30 Jun 2023 16:09:29,977 | [29] | INFO  | ~122 | Loading ORM !!
30 Jun 2023 16:09:30,102 | [117] | INFO  | ~123 | Loading Trusted Subscribers !!
30 Jun 2023 16:09:30,116 | [64] | INFO  | ~124 | Registered Peers IP:192.168.16.113:192.168.2.197
30 Jun 2023 16:09:30,116 | [108] | INFO  | ~129 | Loading Trusted Devices !!
30 Jun 2023 16:09:30,116 | [124] | INFO  | ~128 | Registered 10 trusted users.
30 Jun 2023 16:09:30,116 | [21] | INFO  | ~126 | Registered NLB Token
30 Jun 2023 16:09:30,116 | [72] | INFO  | ~125 | Registered NLB Peers192.168.16.113,
30 Jun 2023 16:09:30,116 | [29] | INFO  | ~127 | Server Slave To 172.16.11.73:9095
30 Jun 2023 16:09:30,125 | [55] | INFO  | ~130 | Cached 3 trusted devices.
30 Jun 2023 16:09:30,125 | [118] | INFO  | ~131 | Loading Application Metadata !!
30 Jun 2023 16:09:30,154 | [24] | INFO  | ~132 | Loading Application Data !!
30 Jun 2023 16:09:30,154 | [108] | INFO  | ~135 | Loading Application Rules !!
30 Jun 2023 16:09:30,154 | [124] | INFO  | ~138 | Loading MFA Service Actions !!
30 Jun 2023 16:09:30,154 | [21] | INFO  | ~137 | Loading Application Preferences !!
30 Jun 2023 16:09:30,154 | [96] | INFO  | ~136 | Loaded Application Rules :1
30 Jun 2023 16:09:30,155 | [118] | INFO  | ~140 | Loading Status Messages :7
30 Jun 2023 16:09:30,154 | [104] | INFO  | ~134 | Loading Application Emails !!
30 Jun 2023 16:09:30,156 | [84] | INFO  | ~141 | Loading Application Automated Imports !!
30 Jun 2023 16:09:30,154 | [64] | INFO  | ~133 | Loading Application Databases : 1
30 Jun 2023 16:09:30,155 | [72] | INFO  | ~139 | Cached Custom Message Dictionary :7
30 Jun 2023 16:09:30,156 | [55] | INFO  | ~142 | Granting Access Privileges To IMPEX Path
30 Jun 2023 16:09:30,176 | [29] | INFO  | ~145 | Cached Application Metadata !!
30 Jun 2023 16:09:30,176 | [108] | INFO  | ~143 | Cached 1 Bulk Import Sites.
30 Jun 2023 16:09:30,176 | [21] | INFO  | ~146 | Loading Pre Defined Scheduled Download URLs :0
30 Jun 2023 16:09:30,176 | [116] | INFO  | ~144 | Cached Download URL Dictionary :0
30 Jun 2023 16:09:30,192 | [117] | INFO  | ~147 | Dynamic Parsing Enabled :3
30 Jun 2023 16:09:30,192 | [96] | INFO  | ~148 | Cached Application Message Map Metadata !!
30 Jun 2023 16:09:30,239 | [84] | INFO  | ~149 | User Scavenger CRON Initialized 

30 Jun 2023 16:09:30,239 | [64] | INFO  | ~150 | LOG Backup CRON Initialized 

30 Jun 2023 16:09:30,246 | [118] | INFO  | ~159 | Impex Transfers Initialized 

30 Jun 2023 16:09:30,240 | [108] | INFO  | ~156 | Network Monitor CRON Initialized 

30 Jun 2023 16:09:30,239 | [55] | INFO  | ~152 | SMS Monitor CRON Initialized 

30 Jun 2023 16:09:30,239 | [72] | INFO  | ~151 | POP Emails CRON Initialized 

30 Jun 2023 16:09:30,245 | [116] | INFO  | ~157 | EOD CRON Initialized 

30 Jun 2023 16:09:30,240 | [104] | INFO  | ~154 | Memory Monitor CRON Initialized 

30 Jun 2023 16:09:30,240 | [21] | INFO  | ~153 | DB Backup CRON Initialized 

30 Jun 2023 16:09:30,245 | [96] | INFO  | ~158 | SignalR Lazy Notify Initialized.
30 Jun 2023 16:09:30,246 | [101] | INFO  | ~155 | Memory Monitor CRON Initialized 

30 Jun 2023 16:09:30,247 | [65] | INFO  | ~160 | Hosting http://192.168.2.197:9095/arms/IDBO
30 Jun 2023 16:09:30,469 | [118] | INFO  | ~161 | Hosted 

30 Jun 2023 16:09:30,469 | [55] | INFO  | ~162 | Hosting http://192.168.2.197:9095/arms/IFIO
30 Jun 2023 16:09:30,475 | [117] | INFO  | ~163 | Hosted 

30 Jun 2023 16:09:30,475 | [116] | INFO  | ~164 | Hosting http://192.168.2.197:9095/arms/IDSO
30 Jun 2023 16:09:30,478 | [17] | INFO  | ~165 | Hosted 

30 Jun 2023 16:09:30,479 | [83] | INFO  | ~166 | Hosting http://192.168.2.197:9095/arms/IUSO
