02 Feb 2024 09:11:49,403 | [20] | INFO  | ~1 | System Executable :D:\FPDS\NEW_ARMSSERVICE\ARMSSERVICE\ArmsServiceMonitor.exe
02 Feb 2024 09:11:53,725 | [20] | INFO  | ~2 | Initializing Log From Path :D:\FPDS\NEW_ARMSSERVICE\ARMSSERVICE
 
02 Feb 2024 09:11:54,044 | [24] | INFO  | ~3 | Logger Engine Initialized.
02 Feb 2024 09:11:54,044 | [22] | INFO  | ~4 | Application Path is verified.
02 Feb 2024 09:11:54,048 | [20] | INFO  | ~5 | Checked Network Availability.
02 Feb 2024 09:11:54,052 | [24] | INFO  | ~6 | Mapping Directories.
02 Feb 2024 09:11:54,686 | [22] | INFO  | ~7 | DB Backup Set To 0:30
02 Feb 2024 09:11:54,690 | [21] | INFO  | ~8 | Log Backup Set To 17:30
02 Feb 2024 09:11:54,694 | [21] | INFO  | ~9 | EOD Set To 0:1
02 Feb 2024 09:11:54,889 | [20] | INFO  | ~10 | Config Loaded Successfully
02 Feb 2024 09:29:31,496 | [162] | INFO  | ~11 | System Executable :D:\FPDS\NEW_ARMSSERVICE\ARMSSERVICE\ArmsServiceMonitor.exe
02 Feb 2024 09:29:36,233 | [165] | INFO  | ~12 | Initializing Log From Path :D:\FPDS\NEW_ARMSSERVICE\ARMSSERVICE
 
02 Feb 2024 09:29:36,489 | [166] | INFO  | ~14 | Logger Engine Initialized.
02 Feb 2024 09:29:36,489 | [170] | INFO  | ~13 | Application Path is verified.
02 Feb 2024 09:29:36,516 | [169] | INFO  | ~15 | Checked Network Availability.
02 Feb 2024 09:29:36,516 | [165] | INFO  | ~16 | Mapping Directories.
02 Feb 2024 09:29:36,808 | [164] | INFO  | ~17 | DB Backup Set To 0:30
02 Feb 2024 09:29:36,810 | [164] | INFO  | ~18 | Log Backup Set To 17:30
02 Feb 2024 09:29:36,812 | [167] | INFO  | ~19 | EOD Set To 0:1
02 Feb 2024 09:29:36,945 | [162] | INFO  | ~20 | Config Loaded Successfully
02 Feb 2024 09:29:37,030 | [167] | INFO  | ~21 | System Executable :D:\FPDS\NEW_ARMSSERVICE\ARMSSERVICE\ArmsServiceMonitor.exe
02 Feb 2024 09:29:37,064 | [166] | INFO  | ~22 | Initializing Log From Path :D:\FPDS\NEW_ARMSSERVICE\ARMSSERVICE
 
02 Feb 2024 09:29:37,341 | [169] | INFO  | ~23 | Application Path is verified.
02 Feb 2024 09:29:37,341 | [165] | INFO  | ~24 | Logger Engine Initialized.
02 Feb 2024 09:29:37,364 | [166] | INFO  | ~25 | Checked Network Availability.
02 Feb 2024 09:29:37,364 | [164] | INFO  | ~26 | Mapping Directories.
02 Feb 2024 09:29:37,777 | [162] | INFO  | ~27 | DB Backup Set To 0:30
02 Feb 2024 09:29:37,784 | [165] | INFO  | ~28 | Log Backup Set To 17:30
02 Feb 2024 09:29:37,787 | [167] | INFO  | ~29 | EOD Set To 0:1
02 Feb 2024 09:29:38,018 | [166] | INFO  | ~30 | Config Loaded Successfully
02 Feb 2024 09:29:38,023 | [167] | INFO  | ~31 | Setting File Import Cache
02 Feb 2024 09:29:38,818 | [164] | INFO  | ~32 | Lazy DS Processing Enabled
02 Feb 2024 09:29:41,401 | [164] | INFO  | ~33 | Lazy Audit Write Enabled
02 Feb 2024 09:29:41,734 | [169] | INFO  | ~34 | Lazy SignalR Notify Enabled
02 Feb 2024 09:29:41,734 | [165] | INFO  | ~35 | MSMQ Initialized.
02 Feb 2024 09:29:45,058 | [166] | INFO  | ~36 | Synced Date Time With DB Server
02 Feb 2024 09:29:46,456 | [163] | INFO  | ~37 | Database Engine Initialized.
02 Feb 2024 09:29:46,466 | [165] | INFO  | ~38 | POP3 Engine Initialized.
02 Feb 2024 09:29:46,491 | [162] | INFO  | ~39 | SMTP Engine Initialized.
02 Feb 2024 09:29:46,549 | [160] | INFO  | ~40 | CRON Engine Initialized.
02 Feb 2024 09:29:46,582 | [169] | INFO  | ~41 | Loading Metadata Users !!
02 Feb 2024 09:29:46,619 | [167] | INFO  | ~42 | TSC:1
02 Feb 2024 09:29:46,619 | [163] | INFO  | ~43 | Loading ORM !!
02 Feb 2024 09:29:46,834 | [164] | INFO  | ~44 | Loading Trusted Subscribers !!
02 Feb 2024 09:29:46,951 | [170] | INFO  | ~45 | Registered Peers IP:192.168.16.113:192.168.1.5
02 Feb 2024 09:29:46,952 | [163] | INFO  | ~46 | Registered 11 trusted users.
02 Feb 2024 09:29:46,953 | [169] | INFO  | ~50 | Loading Trusted Devices !!
02 Feb 2024 09:29:46,952 | [165] | INFO  | ~47 | Registered NLB Token
02 Feb 2024 09:29:46,952 | [167] | INFO  | ~48 | Registered NLB Peers192.168.16.113,
02 Feb 2024 09:29:46,952 | [160] | INFO  | ~49 | Server Slave To 192.168.16.114:9095
02 Feb 2024 09:29:47,046 | [166] | INFO  | ~51 | Cached 2 trusted devices.
02 Feb 2024 09:29:47,046 | [170] | INFO  | ~52 | Loading Application Metadata !!
02 Feb 2024 09:29:47,186 | [162] | INFO  | ~53 | Dynamic Parsing Disabled : No Metadata Defined !!
02 Feb 2024 09:29:48,209 | [170] | INFO  | ~54 | User Scavenger CRON Initialized 

02 Feb 2024 09:29:48,355 | [165] | INFO  | ~55 | LOG Backup CRON Initialized 

02 Feb 2024 09:29:48,449 | [162] | INFO  | ~56 | Loaded Application Emails:4
02 Feb 2024 09:29:48,451 | [167] | INFO  | ~58 | SMS Monitor CRON Initialized 

02 Feb 2024 09:29:48,451 | [169] | INFO  | ~57 | POP Emails CRON Initialized 

02 Feb 2024 09:29:48,452 | [170] | INFO  | ~59 | DB Backup CRON Initialized 

02 Feb 2024 09:29:48,454 | [165] | INFO  | ~60 | Memory Monitor CRON Initialized 

02 Feb 2024 09:29:48,456 | [163] | INFO  | ~61 | Memory Monitor CRON Initialized 

02 Feb 2024 09:29:48,458 | [162] | INFO  | ~62 | Network Monitor CRON Initialized 

02 Feb 2024 09:29:48,460 | [164] | INFO  | ~63 | EOD CRON Initialized 

02 Feb 2024 09:29:48,746 | [167] | INFO  | ~64 | Hosting http://192.168.1.5:9095/arms/IDBO
02 Feb 2024 09:29:49,250 | [169] | INFO  | ~65 | Hosted SData hosted at http://192.168.1.5:9095/arms/IDBO

02 Feb 2024 09:29:49,251 | [166] | INFO  | ~66 | Hosting http://192.168.1.5:9095/arms/IFIO
02 Feb 2024 09:29:49,286 | [165] | INFO  | ~67 | Hosted SFile hosted at http://192.168.1.5:9095/arms/IFIO

02 Feb 2024 09:29:49,288 | [164] | INFO  | ~68 | Hosting http://192.168.1.5:9095/arms/IDSO
02 Feb 2024 09:29:49,298 | [167] | INFO  | ~69 | Hosted SDataStream hosted at http://192.168.1.5:9095/arms/IDSO

02 Feb 2024 09:29:49,298 | [163] | INFO  | ~70 | Hosting http://192.168.1.5:9095/arms/IUSO
02 Feb 2024 09:29:49,335 | [166] | INFO  | ~71 | Hosted SUser hosted at http://192.168.1.5:9095/arms/IUSO

